"id_sexo","sexo","id_jurisdiccion","jurisdiccion","anio","jurisdiccion_tasa_sifilis"
3,"ambos_sexos","200","ARG",2018,34.7
3,"ambos_sexos","200","ARG",2019,56.1
3,"ambos_sexos","200","ARG",2020,22.8
3,"ambos_sexos","02","CABA",2018,37.8
3,"ambos_sexos","02","CABA",2019,50.8
3,"ambos_sexos","02","CABA",2020,19.8
3,"ambos_sexos","06","Buenos Aires",2018,47.6
3,"ambos_sexos","06","Buenos Aires",2019,79
3,"ambos_sexos","06","Buenos Aires",2020,23.2
3,"ambos_sexos","10","Catamarca",2018,11
3,"ambos_sexos","10","Catamarca",2019,15.1
3,"ambos_sexos","10","Catamarca",2020,10.4
3,"ambos_sexos","22","Chaco",2018,32.4
3,"ambos_sexos","22","Chaco",2019,89.7
3,"ambos_sexos","22","Chaco",2020,41.4
3,"ambos_sexos","26","Chubut",2018,18.4
3,"ambos_sexos","26","Chubut",2019,23.2
3,"ambos_sexos","26","Chubut",2020,14.4
3,"ambos_sexos","14","Córdoba",2018,31.5
3,"ambos_sexos","14","Córdoba",2019,34
3,"ambos_sexos","14","Córdoba",2020,15.2
3,"ambos_sexos","18","Corrientes",2018,15.2
3,"ambos_sexos","18","Corrientes",2019,28.3
3,"ambos_sexos","18","Corrientes",2020,26.4
3,"ambos_sexos","30","Entre Ríos",2018,89.8
3,"ambos_sexos","30","Entre Ríos",2019,123.1
3,"ambos_sexos","30","Entre Ríos",2020,39
3,"ambos_sexos","34","Formosa",2018,7.6
3,"ambos_sexos","34","Formosa",2019,14.3
3,"ambos_sexos","34","Formosa",2020,26.1
3,"ambos_sexos","38","Jujuy",2018,17.1
3,"ambos_sexos","38","Jujuy",2019,40.3
3,"ambos_sexos","38","Jujuy",2020,30.1
3,"ambos_sexos","42","La Pampa",2018,78.3
3,"ambos_sexos","42","La Pampa",2019,132
3,"ambos_sexos","42","La Pampa",2020,162.9
3,"ambos_sexos","46","La Rioja",2018,4.2
3,"ambos_sexos","46","La Rioja",2019,16.7
3,"ambos_sexos","46","La Rioja",2020,7.6
3,"ambos_sexos","50","Mendoza",2018,41
3,"ambos_sexos","50","Mendoza",2019,62.9
3,"ambos_sexos","50","Mendoza",2020,28.6
3,"ambos_sexos","54","Misiones",2018,10.6
3,"ambos_sexos","54","Misiones",2019,44.3
3,"ambos_sexos","54","Misiones",2020,18.3
3,"ambos_sexos","58","Neuquén",2018,17.8
3,"ambos_sexos","58","Neuquén",2019,33.3
3,"ambos_sexos","58","Neuquén",2020,19.6
3,"ambos_sexos","62","Río Negro",2018,18.7
3,"ambos_sexos","62","Río Negro",2019,33.3
3,"ambos_sexos","62","Río Negro",2020,21.7
3,"ambos_sexos","66","Salta",2018,19.5
3,"ambos_sexos","66","Salta",2019,28.7
3,"ambos_sexos","66","Salta",2020,18.5
3,"ambos_sexos","70","San Juan",2018,36.8
3,"ambos_sexos","70","San Juan",2019,61.5
3,"ambos_sexos","70","San Juan",2020,41.6
3,"ambos_sexos","74","San Luis",2018,46.4
3,"ambos_sexos","74","San Luis",2019,90
3,"ambos_sexos","74","San Luis",2020,84
3,"ambos_sexos","78","Santa Cruz",2018,5.8
3,"ambos_sexos","78","Santa Cruz",2019,10.1
3,"ambos_sexos","78","Santa Cruz",2020,11.5
3,"ambos_sexos","82","Santa Fe",2018,5.5
3,"ambos_sexos","82","Santa Fe",2019,4.6
3,"ambos_sexos","82","Santa Fe",2020,4
3,"ambos_sexos","86","Santiago del Estero",2018,18.3
3,"ambos_sexos","86","Santiago del Estero",2019,37
3,"ambos_sexos","86","Santiago del Estero",2020,17.8
3,"ambos_sexos","94","Tierra del Fuego",2018,22.4
3,"ambos_sexos","94","Tierra del Fuego",2019,29
3,"ambos_sexos","94","Tierra del Fuego",2020,15.6
3,"ambos_sexos","90","Tucumán",2018,8.9
3,"ambos_sexos","90","Tucumán",2019,17
3,"ambos_sexos","90","Tucumán",2020,8.3
2,"mujeres","200","ARG",2018,39.5
2,"mujeres","200","ARG",2019,63.8
2,"mujeres","200","ARG",2020,26.7
2,"mujeres","02","CABA",2018,35.7
2,"mujeres","02","CABA",2019,45.3
2,"mujeres","02","CABA",2020,19.1
2,"mujeres","06","Buenos Aires",2018,53.9
2,"mujeres","06","Buenos Aires",2019,88.8
2,"mujeres","06","Buenos Aires",2020,27
2,"mujeres","10","Catamarca",2018,11.3
2,"mujeres","10","Catamarca",2019,24.3
2,"mujeres","10","Catamarca",2020,12.5
2,"mujeres","22","Chaco",2018,38.5
2,"mujeres","22","Chaco",2019,118.7
2,"mujeres","22","Chaco",2020,50.2
2,"mujeres","26","Chubut",2018,13.4
2,"mujeres","26","Chubut",2019,22.1
2,"mujeres","26","Chubut",2020,13.9
2,"mujeres","14","Córdoba",2018,31.2
2,"mujeres","14","Córdoba",2019,35.2
2,"mujeres","14","Córdoba",2020,14.9
2,"mujeres","18","Corrientes",2018,23.7
2,"mujeres","18","Corrientes",2019,37.8
2,"mujeres","18","Corrientes",2020,37.2
2,"mujeres","30","Entre Ríos",2018,97.9
2,"mujeres","30","Entre Ríos",2019,136.2
2,"mujeres","30","Entre Ríos",2020,53.5
2,"mujeres","34","Formosa",2018,10.4
2,"mujeres","34","Formosa",2019,19.6
2,"mujeres","34","Formosa",2020,37.2
2,"mujeres","38","Jujuy",2018,21.5
2,"mujeres","38","Jujuy",2019,37.3
2,"mujeres","38","Jujuy",2020,25.6
2,"mujeres","42","La Pampa",2018,113.2
2,"mujeres","42","La Pampa",2019,211.1
2,"mujeres","42","La Pampa",2020,281.8
2,"mujeres","46","La Rioja",2018,5.2
2,"mujeres","46","La Rioja",2019,23.1
2,"mujeres","46","La Rioja",2020,7.6
2,"mujeres","50","Mendoza",2018,51
2,"mujeres","50","Mendoza",2019,72.9
2,"mujeres","50","Mendoza",2020,30.3
2,"mujeres","54","Misiones",2018,14.6
2,"mujeres","54","Misiones",2019,73.5
2,"mujeres","54","Misiones",2020,22
2,"mujeres","58","Neuquén",2018,15.7
2,"mujeres","58","Neuquén",2019,30.3
2,"mujeres","58","Neuquén",2020,19.8
2,"mujeres","62","Río Negro",2018,19.4
2,"mujeres","62","Río Negro",2019,30.3
2,"mujeres","62","Río Negro",2020,22.1
2,"mujeres","66","Salta",2018,28.7
2,"mujeres","66","Salta",2019,27
2,"mujeres","66","Salta",2020,18.2
2,"mujeres","70","San Juan",2018,53.4
2,"mujeres","70","San Juan",2019,78.5
2,"mujeres","70","San Juan",2020,47
2,"mujeres","74","San Luis",2018,56.4
2,"mujeres","74","San Luis",2019,91.3
2,"mujeres","74","San Luis",2020,78.5
2,"mujeres","78","Santa Cruz",2018,5.9
2,"mujeres","78","Santa Cruz",2019,12.7
2,"mujeres","78","Santa Cruz",2020,8.4
2,"mujeres","82","Santa Fe",2018,5.8
2,"mujeres","82","Santa Fe",2019,4.8
2,"mujeres","82","Santa Fe",2020,4
2,"mujeres","86","Santiago del Estero",2018,28.1
2,"mujeres","86","Santiago del Estero",2019,58.8
2,"mujeres","86","Santiago del Estero",2020,30.9
2,"mujeres","94","Tierra del Fuego",2018,24.7
2,"mujeres","94","Tierra del Fuego",2019,26.5
2,"mujeres","94","Tierra del Fuego",2020,16.5
2,"mujeres","90","Tucumán",2018,11.6
2,"mujeres","90","Tucumán",2019,21.1
2,"mujeres","90","Tucumán",2020,10.5
1,"varones","200","ARG",2018,29.7
1,"varones","200","ARG",2019,48.1
1,"varones","200","ARG",2020,18.8
1,"varones","02","CABA",2018,40.3
1,"varones","02","CABA",2019,57.1
1,"varones","02","CABA",2020,20.6
1,"varones","06","Buenos Aires",2018,41.2
1,"varones","06","Buenos Aires",2019,68.8
1,"varones","06","Buenos Aires",2020,19.3
1,"varones","10","Catamarca",2018,10.8
1,"varones","10","Catamarca",2019,5.8
1,"varones","10","Catamarca",2020,8.2
1,"varones","22","Chaco",2018,26.3
1,"varones","22","Chaco",2019,60
