"","ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
"1",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3571540
"2",2010,"01","TOTAL DEL PAÍS","1","Varones","0-4",1838771
"3",2010,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1732769
"4",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3507135
"5",2010,"01","TOTAL DEL PAÍS","1","Varones","5-9",1794531
"6",2010,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1712604
"7",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3541954
"8",2010,"01","TOTAL DEL PAÍS","1","Varones","10-14",1801750
"9",2010,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1740204
"10",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3559813
"11",2010,"01","TOTAL DEL PAÍS","1","Varones","15-19",1797164
"12",2010,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1762649
"13",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3346483
"14",2010,"01","TOTAL DEL PAÍS","1","Varones","20-24",1674870
"15",2010,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1671613
"16",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3166874
"17",2010,"01","TOTAL DEL PAÍS","1","Varones","25-29",1575889
"18",2010,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1590985
"19",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3112375
"20",2010,"01","TOTAL DEL PAÍS","1","Varones","30-34",1540513
"21",2010,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1571862
"22",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2711144
"23",2010,"01","TOTAL DEL PAÍS","1","Varones","35-39",1334655
"24",2010,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1376489
"25",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2347809
"26",2010,"01","TOTAL DEL PAÍS","1","Varones","40-44",1149610
"27",2010,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1198199
"28",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2212137
"29",2010,"01","TOTAL DEL PAÍS","1","Varones","45-49",1076990
"30",2010,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1135147
"31",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2062422
"32",2010,"01","TOTAL DEL PAÍS","1","Varones","50-54",997584
"33",2010,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1064838
"34",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1877071
"35",2010,"01","TOTAL DEL PAÍS","1","Varones","55-59",898643
"36",2010,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",978428
"37",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1628569
"38",2010,"01","TOTAL DEL PAÍS","1","Varones","60-64",765679
"39",2010,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",862890
"40",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1304566
"41",2010,"01","TOTAL DEL PAÍS","1","Varones","65-69",594668
"42",2010,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",709898
"43",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1029030
"44",2010,"01","TOTAL DEL PAÍS","1","Varones","70-74",444901
"45",2010,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",584129
"46",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",808031
"47",2010,"01","TOTAL DEL PAÍS","1","Varones","75-79",324635
"48",2010,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",483396
"49",2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",567436
