"anio","jurisdiccion_de_residencia_id","jurisdicion_residencia_nombre","cie10_causa_id","cie10_clasificacion","sexo_id","Sexo","muerte_materna_id","muerte_materna_clasificacion","grupo_edad","cantidad"
2014,34,"Formosa","P22","Dificultad respiratoria del recién nacido",1,"masculino","",NA,"01.De a 0  a 14 anios",22
2007,22,"Chaco","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2008,82,"Santa Fe","J12","Neumonía viral, no clasificada en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2016,94,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","J18","Neumonía, organismo no especificado",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2012,90,"Tucumán","P91","Otras alteraciones cerebrales del recién nacido",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2005,6,"Buenos Aires","G00","Meningitis bacteriana, no clasificada en otra parte",1,"masculino"," ",NA,"01.De a 0  a 14 anios",2
2007,2,"Ciudad Autónoma de Buenos Aires","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino","",NA,"01.De a 0  a 14 anios",4
2021,62,"Río Negro","P22","Dificultad respiratoria del recién nacido",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2007,6,"Buenos Aires","E84","Fibrosis quística",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2016,14,"Córdoba","J20","Bronquitis aguda",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2017,86,"Santiago del Estero","J69","Neumonitis debida a sólidos y líquidos",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2013,2,"Ciudad Autónoma de Buenos Aires","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2014,78,"Santa Cruz","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2014,58,"Neuquén","P01","Feto y recién nacido afectados por complicaciones maternas del embarazo",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2006,82,"Santa Fe","P02","Feto y recién nacido afectado por complicaciones de la placenta, del cordón umbilical y de las membranas",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2017,54,"Misiones","E86","Depleción del volumen",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2015,34,"Formosa","X49","Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2013,6,"Buenos Aires","Q87","Otros síndromes de malformaciones congénitas especificados que afectan múltiples sistemas",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2008,18,"Corrientes","B24","Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2005,30,"Entre Ríos","P22","Dificultad respiratoria del recién nacido",2,"femenino"," ",NA,"01.De a 0  a 14 anios",2
2013,34,"Formosa","X49","Envenenamiento accidental por, y exposición a otros productos químicos y sustancias nocivas, y los no especificados",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2016,6,"Buenos Aires","Q90","Síndrome de Down",2,"femenino",NA,NA,"01.De a 0  a 14 anios",10
2009,78,"Santa Cruz","G80","Parálisis cerebral",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2011,82,"Santa Fe","P01","Feto y recién nacido afectados por complicaciones maternas del embarazo",2,"femenino","",NA,"01.De a 0  a 14 anios",2
2017,26,"Chubut","Q34","Otras malformaciones congénitas del sistema respiratorio",2,"femenino",NA,NA,"01.De a 0  a 14 anios",1
2020,54,"Misiones","P52","Hemorragia intracraneal no traumática del feto y del recién nacido",2,"femenino",NA,NA,"01.De a 0  a 14 anios",6
2018,22,"Chaco","J80","Síndrome de dificultad respiratoria del adulto",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2017,38,"Jujuy","K72","Insuficiencia hepática, no clasificada en otra parte",1,"masculino",NA,NA,"01.De a 0  a 14 anios",1
2008,14,"Córdoba","G12","Atrofia muscular espinal y síndromes afines",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2012,2,"Ciudad Autónoma de Buenos Aires","P91","Otras alteraciones cerebrales del recién nacido",1,"masculino","",NA,"01.De a 0  a 14 anios",2
2012,30,"Entre Ríos","Q89","Otras malformaciones congénitas, no clasificadas en otra parte",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2007,6,"Buenos Aires","Q78","Otras osteocondrodisplasias",1,"masculino","",NA,"01.De a 0  a 14 anios",4
2013,62,"Río Negro","Q91","Síndrome de Edwards y síndrome  de Patau",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2006,14,"Córdoba","Q21","Malformaciones congénitas de los tabiques cardíacos",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2006,22,"Chaco","G12","Atrofia muscular espinal y síndromes afines",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2014,82,"Santa Fe","E84","Fibrosis quística",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2014,6,"Buenos Aires","E88","Otros trastornos metabólicos",1,"masculino","",NA,"01.De a 0  a 14 anios",4
2006,6,"Buenos Aires","Q79","Malformaciones congénitas del sistema osteomuscular, no clasificadas en otra parte",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2006,86,"Santiago del Estero","I50","Insuficiencia cardíaca",1,"masculino","",NA,"01.De a 0  a 14 anios",1
2007,2,"Ciudad Autónoma de Buenos Aires","Q90","Síndrome de Down",2,"femenino","",NA,"01.De a 0  a 14 anios",1
2005,22,"Chaco","A50","Sífilis congénita",2,"femenino"," ",NA,"01.De a 0  a 14 anios",2
2008,6,"Buenos Aires","A09","Otras gastroenteritis y colitis de origen infeccioso y no especificado",2,"femenino","",NA,"01.De a 0  a 14 anios",13
